id,name,rating,genre,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1308-A130802-13007868,かえりやま,3.75, 溜池山王駅 199m / フレンチ,"[3000, 3999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130802/13007868/,https://tblg.k-img.com/restaurant/images/Rvw/55098/55098311.jpg
tokyo-A1308-A130801-13192218,クレアバックス,3.64, 赤坂駅 157m / フレンチ、イノベーティブ・フュージョン、イタリアン,"[4000, 4999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130801/13192218/,https://tblg.k-img.com/restaurant/images/Rvw/56898/56898666.jpg
tokyo-A1308-A130801-13165326,俺のフレンチ・イタリアン AKASAKA,3.56, 赤坂見附駅 56m / フレンチ、イタリアン、パスタ,"[2000, 2999]","[3000, 3999]",https://tabelog.com/tokyo/A1308/A130801/13165326/,https://tblg.k-img.com/restaurant/images/Rvw/70265/70265249.jpg
tokyo-A1308-A130801-13179833,熟成焼肉 肉源 赤坂店,3.59, 赤坂駅 133m / 焼肉、ホルモン、バル・バール,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13179833/,https://tblg.k-img.com/restaurant/images/Rvw/95615/95615403.jpg
tokyo-A1308-A130801-13002217,レストラン ストックホルム,3.67, 赤坂見附駅 119m / 西洋各国料理（その他）、バイキング、その他肉料理,"[3000, 3999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13002217/,https://tblg.k-img.com/restaurant/images/Rvw/110741/110741337.jpg
tokyo-A1308-A130801-13007892,オステルリー・スズキ,3.75, 赤坂駅 188m / フレンチ、西洋各国料理（その他）、その他肉料理,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13007892/,https://tblg.k-img.com/restaurant/images/Rvw/58729/58729063.jpg
tokyo-A1308-A130801-13177720,赤坂 Toriya Premium,3.69, 赤坂駅 187m / 焼鳥、ワインバー、鳥料理,[0],"[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13177720/,https://tblg.k-img.com/restaurant/images/Rvw/56600/56600967.jpg
tokyo-A1308-A130802-13117642,日本料理 水簾,3.56, 溜池山王駅 173m / 懐石・会席料理,"[5000, 5999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130802/13117642/,https://tblg.k-img.com/restaurant/images/Rvw/103660/103660992.jpg
tokyo-A1308-A130801-13118205,はなぜん 赤坂店,3.54, 赤坂駅 267m / 居酒屋、焼酎バー、馬肉料理,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13118205/,https://tblg.k-img.com/restaurant/images/Rvw/43883/43883150.jpg
tokyo-A1308-A130801-13177732,赤坂焼肉 KINTAN,3.59, 赤坂見附駅 172m / 焼肉、ステーキ、鉄板焼き,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13177732/,https://tblg.k-img.com/restaurant/images/Rvw/36557/36557593.jpg
tokyo-A1308-A130801-13121324,サライ 赤坂店,3.52, 赤坂駅 179m / トルコ料理、ピザ、ワインバー,"[0, 999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130801/13121324/,https://tblg.k-img.com/restaurant/images/Rvw/66922/66922821.jpg
tokyo-A1308-A130801-13156942,ヴァッカロッサ,3.89, 赤坂駅 277m / イタリアン、ステーキ、ハンバーグ,"[1000, 1999]","[15000, 19999]",https://tabelog.com/tokyo/A1308/A130801/13156942/,https://tblg.k-img.com/restaurant/images/Rvw/20839/20839193.jpg
tokyo-A1308-A130801-13002132,Soba & BAR An,3.51, 赤坂見附駅 169m / そば、居酒屋、鍋（その他）,"[0, 999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130801/13002132/,https://tblg.k-img.com/restaurant/images/Rvw/43399/43399849.jpg
tokyo-A1308-A130801-13023175,ヌルンジ,3.56, 赤坂駅 212m / 韓国料理、焼肉、居酒屋,"[0, 999]","[2000, 2999]",https://tabelog.com/tokyo/A1308/A130801/13023175/,https://tblg.k-img.com/restaurant/images/Rvw/28536/28536621.jpg
tokyo-A1308-A130801-13019745,宵の口,3.61, 赤坂見附駅 259m / 鳥料理、居酒屋、鍋（その他）,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13019745/,https://tblg.k-img.com/restaurant/images/Rvw/27934/27934692.jpg
tokyo-A1308-A130801-13004015,ニンジャ アカサカ,3.53, 赤坂見附駅 38m / 創作料理、居酒屋・ダイニングバー（その他）,[0],"[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13004015/,https://tblg.k-img.com/restaurant/images/Rvw/63619/63619030.jpg
tokyo-A1308-A130801-13015386,赤坂あじさい,3.6, 赤坂駅 243m / 割烹・小料理、郷土料理（その他）、居酒屋,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13015386/,https://tblg.k-img.com/restaurant/images/Rvw/39897/39897204.jpg
tokyo-A1308-A130803-13160944,YONA YONA BEER WORKS 赤坂店,3.59, 赤坂見附駅 74m / ビアホール・ビアレストラン、バル・バール、居酒屋,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1308/A130803/13160944/,https://tblg.k-img.com/restaurant/images/Rvw/87517/87517717.jpg
tokyo-A1308-A130801-13005028,赤坂璃宮 赤坂本店,3.76, 赤坂駅 93m / 広東料理,"[3000, 3999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130801/13005028/,https://tblg.k-img.com/restaurant/images/Rvw/24822/24822878.jpg
tokyo-A1308-A130801-13029684,オイスター＆ワイン ペスカデリア 赤坂店,3.54, 赤坂駅 257m / バル・バール、オイスターバー、イタリアン,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13029684/,https://tblg.k-img.com/restaurant/images/Rvw/75608/75608795.jpg
tokyo-A1308-A130803-13022137,エノテカ・ドォーロ,3.65, 半蔵門駅 378m / イタリアン、ピザ、ワインバー,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130803/13022137/,https://tblg.k-img.com/restaurant/images/Rvw/33200/33200108.jpg
tokyo-A1308-A130801-13166154,松坂牛一頭流 肉兵衛 赤坂本店,3.52, 赤坂見附駅 94m / 焼肉、ホルモン、居酒屋,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13166154/,https://tblg.k-img.com/restaurant/images/Rvw/25404/25404640.jpg
tokyo-A1308-A130801-13184317,赤坂グリル,3.53, 赤坂見附駅 246m / ステーキ、炭火焼き、鉄板焼き,"[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13184317/,https://tblg.k-img.com/restaurant/images/Rvw/54835/54835036.jpg
tokyo-A1308-A130803-13198088,Le FAVORI 紀尾井町,3.56, 永田町駅 206m / フレンチ,"[5000, 5999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130803/13198088/,https://tblg.k-img.com/restaurant/images/Rvw/55928/55928589.jpg
tokyo-A1308-A130801-13002871,メゾン・ド・ユーロン,3.96, 赤坂駅 417m / 中華料理,[0],"[15000, 19999]",https://tabelog.com/tokyo/A1308/A130801/13002871/,https://tblg.k-img.com/restaurant/images/Rvw/8492/8492763.jpg
tokyo-A1308-A130801-13181306,焼肉芝浦 赤坂 別邸,3.59, 赤坂駅 195m / 焼肉、ステーキ、ホルモン,[0],"[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13181306/,https://tblg.k-img.com/restaurant/images/Rvw/39780/39780564.jpg
tokyo-A1308-A130803-13006388,ピッツェリア・ドォーロ 麹町店,3.58, 麹町駅 230m / ピザ、イタリアン、バル・バール,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130803/13006388/,https://tblg.k-img.com/restaurant/images/Rvw/34571/34571906.jpg
tokyo-A1308-A130801-13002868,草の家 赤坂店,3.59, 赤坂駅 147m / 焼肉、韓国料理、韓国鍋,"[0, 999]","[5000, 5999]",https://tabelog.com/tokyo/A1308/A130801/13002868/,https://tblg.k-img.com/restaurant/images/Rvw/21667/21667751.jpg
tokyo-A1308-A130803-13000434,赤坂 四川飯店,3.7, 永田町駅 150m / 四川料理、担々麺、中華料理,"[1000, 1999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130803/13000434/,https://tblg.k-img.com/restaurant/images/Rvw/29242/29242271.jpg
tokyo-A1308-A130803-13009058,ガーデンラウンジ,3.7, 麹町駅 525m / バイキング、カフェ、ハンバーガー,"[3000, 3999]","[2000, 2999]",https://tabelog.com/tokyo/A1308/A130803/13009058/,https://tblg.k-img.com/restaurant/images/Rvw/96788/96788125.jpg
tokyo-A1308-A130801-13214731,創作和食 堂間,3.55, 溜池山王駅 187m / 創作料理、和食（その他）、京料理,"[1000, 1999]","[10000, 14999]",https://tabelog.com/tokyo/A1308/A130801/13214731/,https://tblg.k-img.com/restaurant/images/Rvw/112775/112775255.jpg
tokyo-A1308-A130801-13052951,赤坂阿吽 本店,3.51, 赤坂見附駅 128m / 居酒屋、鍋（その他）、魚介料理・海鮮料理,"[0, 999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13052951/,https://tblg.k-img.com/restaurant/images/Rvw/81597/81597234.jpg
